7		11			?- n	14.3|20												
					?- ?	12.2|6												
19|	N		271 ms|8	2.71E-1|8E-3	?-	100			12523|17	-15527|27	-16560|100	8568|16	5328|25	16350|30	6948.5|9	19017022|18	15856|16	1968
7		12			?- n	54.6|14												
20|	N		130 ms|7	1.3E-1|7E-3	?-	100			17970|80	-17770|80	-15740|240	10360|80	2160|80	17940|130	6709|4	20023370|80	21770|80	1969
7		13			?- n	57|3												
21|	N		84 ms|7	8.4E-2|7E-3	?-	100			17170|130	-20910|240	-20410|610	13360|130	4610|160	19560|270	6609|6	21027090|140	25230|130	1970
7		14			?- n	86|4												
22|	N		23 ms|3	2.3E-2|3E-3	?-	100			22480|220	-22450|290	-21850|310	15630|210	1540|250	21170|630#	6379|9	22034100|220	31760|210	1979
7		15			?- n	34|3												
					?- 2n	12|3												
23|	N		14.1 ms|15	1.41E-2|1.5E-3	?-	100			22100|440	-25470|670		19370|420	3120|470	24180|480	6237|18	23039420|450	36720|420	1985
7		16			?- n	42|6												
					?- 2n	8|4												
					?- 3n	< 3.4												
24|	N		< 52 ns	5.2E-8	n	?			28440|430#	-23940|890#	#	24240|420#	-2150|580#	24520|1070#	5887|17#	24050390|430#	46940|400#	
7		17																
12|	O		0.40 MeV|25	1.14E-21|7.12E-22	p	?				-5570|30#	14577|24			-320|50#	4890.2|20#	12034262|26#	31915|24#	1978
8		4																
13|	O		8.58 ms|5	8.58E-3|5E-5	?+ p	? 100				-8220|10#	17770|10		16870|26#	1512|10#	5811.8|7#	13024815|10#	23115|10#	1963
8		5			ec ?+	100												
14|	O		70.606 s|18	7.06E1|1.8E-2	ec ?+	100			-23960|40#	-10115.81|7#	5144.364|25#		23179|10#	4626.67|27#	7052.278|2#	14008596.706|27#	8007.781|25#	1949
8		6																
15|	O		122.24 s|16	1.22E2|1.6E-1	ec ?+	100	0.7189 8		-13711|14#	-10218.7|5#	2754.2|5#	-37180|40#	13223.5|5#	7296.8|5#	7463.69|3#	15003065.6|5#	2855.6|5#	1934
8		7																
16|	O		STABLE|						-15417|8#	-7161.92|0#	-10420.9|23#	-29375|14#	15663.9|5#	12127.41|0#	7976.206|0#	15994914.61960|17#	-4737.00135|16#	1919
8		8	99.757 %|16															
17|	O		STABLE|				-1.89379 9		-2760.46|25#	-6358.69|0#	-8679|15#	-19560|8#	4143.08|0#	13781.6|23#	7750.728|0#	16999131.7566|7#	-808.7635|7#	1925
8		9	0.038 %|1															
18|	O		STABLE|						-1655.9|5	-6227.62|0	-13896|19	-10805.83|25	8045.37|0	15942|15	7767.097|0	17999159.6128|8	-782.8156|7	1929
8		10	0.205 %|14															
19|	O		26.88 s|5	2.69E1|5E-2	?-	100			4820.3|26	-8965.2|28	-12523|17	-5611.6|27	3955.6|26	17069|19	7566.49|14	19003578.0|28	3332.9|26	1936
8		11																
20|	O		13.51 s|5	1.35E1|5E-2	?-	100			3813.6|9	-12323|4	-17970|80	-2787.7|9	7608.0|28	19349|16	7568.57|4	20004075.4|9	3796.2|9	1959
8		12																
21|	O		3.42 s|10	3.42E0|1E-1	?-	100			8110|12	-15395|21	-17170|130	8|12	3805|12	20990|80	7389.4|6	21008655|13	8062|12	1968
8		13																
22|	O		2.25 s|9	2.25E0|9E-2	?-	100			6490|60	-18060|60	-22480|220	1260|60	6850|60	23240|150	7364.9|26	22009970|60	9280|60	1969
